rule,flagged,per_year,precision,lift,recall,reg_caught,exits_yr,cost_yr,breakeven,OR,p,nnc
HiPo + silent,894,447.0,0.03803131991051454,2.292493539304173,0.288135593220339,14,17.0,223500.0,0.07958578321789846,2.3946907028770616,1.3842484050099327e-05,26.294117647058826
HiPo + silent + underpaid,520,260.0,0.021153846153846155,1.275134698275862,0.09322033898305085,6,5.5,130000.0,0.14308283987110482,1.2844523763103826,0.38568233548659403,47.27272727272727
HiPo + silent two waves running,138,69.0,0.057971014492753624,3.4944402798600698,0.06779661016949153,2,4.0,34500.0,0.05221147858758103,3.6709698996655518,0.0022294993210111858,17.25
HiPo + silent + passed over,567,283.5,0.04056437389770723,2.4451837408015566,0.19491525423728814,11,11.5,141750.0,0.07461602611004019,2.544566542086448,9.713857486001834e-05,24.65217391304348
"HiPo, all of them (no trigger)",4904,2452.0,0.02406199021207178,1.4504349897339257,1.0,61,59.0,1226000.0,0.12578977695578356,1.528777349574118,5.012089100535282e-05,41.559322033898304
Anyone silent (drop HiPo filter),10251,5125.5,0.030728709394205442,1.8522987875026489,0.3394396551724138,32,157.5,2562750.0,0.09849917037060836,2.331171536988439,2.4433479637278365e-30,32.542857142857144
Anyone silent two waves running,1533,766.5,0.05218525766470972,3.1456800953730566,0.08620689655172414,8,40.0,383250.0,0.05800014251794328,3.4773857601059617,3.3733697848915476e-19,19.1625
