population,outcome,n_person_waves,rate_silent,rate_responded,odds_ratio,ci_lo,ci_hi,p_value
All employees,exit_180,55839,0.03757706233486643,0.017689609820254273,2.1681401110894822,1.9163376608795122,2.4530288358251244,4.543829778078097e-36
All employees,regret_180,55839,0.003914277326548586,0.00263042525208242,1.489995742869306,1.0411055104919433,2.1324325838210374,0.03641622565264066
All employees,invol_180,55839,0.00968783638320775,0.004252520824199912,2.2906432093231737,1.7964075824599004,2.9208551353548375,1.0582527942036337e-11
HiPo only,exit_180,4893,0.043721973094170405,0.02749312671832042,1.6172759245443888,1.11407817085111,2.3477539409220367,0.014563534614167763
HiPo only,regret_180,4893,0.016816143497757848,0.015496125968507872,1.0866406738514731,0.6153202183365523,1.918981237542476,0.8904848645825241
HiPo only,invol_180,4893,0.006726457399103139,0.007248187953011747,0.92753171946758,0.3839306648094182,2.2408084830773882,1.0
Non-HiPo,exit_180,50946,0.0369893856545513,0.016747158749609553,2.2551223920821077,1.9781785624243664,2.57083819422119,1.530271293780597e-35
Non-HiPo,regret_180,50946,0.0026803902648225584,0.001393594271846993,1.925846499455067,1.204294202787181,3.0797165102012514,0.008215677194137445
Non-HiPo,invol_180,50946,0.009971051785139916,0.003964535428530239,2.5303207513733827,1.9605042342548513,3.2657532653910493,2.758458841739374e-13
